Day,Temperature,Precipitation
1,23.232202558909872,2.64555612104627
2,25.727840495586292,7.742336894342166
3,24.041450641074658,4.5615033221654855
4,23.173247744953454,5.684339488686485
5,21.354821990083572,0.18789800436355142
6,24.68841169599984,6.176354970758771
7,21.563808168940387,6.120957227224214
8,28.376595011731197,6.169339968747569
9,29.45494140751544,9.437480785146242
10,20.751622782386665,6.818202991034834
11,26.87587557123997,3.59507900573786
12,22.933423796293567,4.3703195379934145
13,23.520668416408984,6.976311959272649
14,28.883949574389916,0.6022547162926983
15,16.065540872968306,6.667667154456677
16,16.30693949552311,6.706378696181594
17,15.303275961604886,2.103825610738409
18,27.48929768321907,1.289262976548533
19,26.67235126424776,3.1542835092418384
20,28.050182223702286,3.637107709426226
21,29.67927513349146,5.701967704178797
22,26.987378463250856,4.386015134623204
23,21.92219043379398,9.883738380592263
24,26.707937644296834,1.0204481074802807
25,16.774116388034,2.088767560948347
26,24.59881531991286,1.6130951788499626
27,17.150299311135697,6.531083254653984
28,29.17003375574376,2.532916025397821
29,22.827724826251075,4.663107728563062
30,21.219929099857854,2.4442559200160274
